Distance,Score,Heading,Savings
12,7,225.0,295.8588235294117
12,7,270.0,287.9803921568628
12,7,315.0,232.1725490196082
14,7,0.0,278.8235294117656
14,7,45.0,319.5254901960771
14,7,90.0,330.2588235294116
14,7,135.0,253.56470588235345
14,7,180.0,323.34901960784356
14,7,225.0,287.3294117647058
14,7,270.0,291.043137254902
14,7,315.0,227.8784313725491
16,7,0.0,271.0117647058833
16,7,45.0,307.4392156862734
16,7,90.0,328.23529411764713
16,7,135.0,248.40000000000038
16,7,180.0,326.1411764705888
16,7,225.0,289.45490196078407
16,7,270.0,287.48235294117666
16,7,315.0,230.80392156862743
2,8,0.0,153.50980392156904
2,8,45.0,196.3215686274514
2,8,90.0,208.80784313725553
2,8,135.0,163.46666666666732
2,8,180.0,192.17647058823582
2,8,225.0,184.81176470588244
2,8,270.0,162.58039215686296
2,8,315.0,138.37254901960821
4,8,0.0,192.54117647058874
4,8,45.0,272.78823529411727
4,8,90.0,217.88235294117695
4,8,135.0,189.64313725490194
4,8,180.0,204.24313725490242
4,8,225.0,230.05098039215704
4,8,270.0,180.77254901960794
4,8,315.0,150.63137254901994
6,8,0.0,214.10980392156938
6,8,45.0,312.082352941175
6,8,90.0,272.0588235294118
6,8,135.0,232.7803921568628
6,8,180.0,265.1450980392158
6,8,225.0,261.4196078431375
6,8,270.0,203.9764705882354
6,8,315.0,177.18039215686312
8,8,0.0,244.73725490196142
8,8,45.0,317.93725490195936
8,8,90.0,311.21960784313774
8,8,135.0,243.43921568627448
8,8,180.0,313.6823529411764
8,8,225.0,292.21568627450984
8,8,270.0,244.94901960784352
8,8,315.0,219.7764705882354
10,8,0.0,264.7843137254909
10,8,45.0,326.21568627450847
10,8,90.0,320.03921568627476
10,8,135.0,249.61960784313746
10,8,180.0,319.84705882352966
10,8,225.0,298.01568627450973
10,8,270.0,266.54901960784343
10,8,315.0,230.26666666666682
12,8,0.0,270.2156862745106
12,8,45.0,328.25882352941056
12,8,90.0,323.56078431372526
12,8,135.0,259.67058823529476
12,8,180.0,321.5490196078435
12,8,225.0,292.32549019607836
12,8,270.0,280.8980392156863
12,8,315.0,238.5372549019611
14,8,0.0,275.53333333333416
14,8,45.0,320.9490196078417
14,8,90.0,330.0392156862743
14,8,135.0,257.64313725490246
14,8,180.0,326.5019607843141
14,8,225.0,295.17647058823525
14,8,270.0,287.36078431372556
14,8,315.0,232.98823529411797
16,8,0.0,279.54117647058916
16,8,45.0,319.5254901960771
16,8,90.0,331.3215686274508
16,8,135.0,254.63529411764756
16,8,180.0,323.7019607843141
16,8,225.0,288.57254901960783
16,8,270.0,292.86666666666656
16,8,315.0,227.8784313725491
